"Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7","Relative Intensity (%) Run #8","Angle (rad) Run #8","Relative Intensity (%) Run #9","Angle (rad) Run #9","Relative Intensity (%) Run #10","Angle (rad) Run #10"
6.21,4.469,-6.71,1.951,-4.92,2.711,-2.24,2.402,0.49,1.962,5.65,2.798
6.62,4.516,-6.75,1.959,-4.82,2.735,-2.24,2.435,0.51,1.974,5.74,2.802
6.89,4.557,-6.77,1.970,-4.80,2.765,-2.22,2.487,0.57,1.993,5.74,2.805
7.36,4.595,-6.69,1.982,-4.70,2.816,-2.18,2.570,0.59,2.020,5.73,2.807
7.60,4.629,-6.68,1.998,-4.60,2.879,-2.10,2.652,0.60,2.058,5.79,2.807
8.07,4.673,-6.67,2.014,-4.40,2.942,-2.07,2.677,0.59,2.073,5.85,2.805
8.29,4.716,-6.72,2.033,-4.35,3.010,-1.96,2.706,0.58,2.092,5.79,2.810
8.87,4.741,-6.71,2.045,-4.19,3.054,-1.87,2.721,0.67,2.116,5.81,2.813
9.05,4.772,-6.69,2.059,-4.11,3.096,-1.74,2.725,0.72,2.147,5.81,2.818
9.66,4.818,-6.70,2.066,-4.02,3.137,-1.75,2.730,0.74,2.191,5.83,2.831
9.96,4.857,-6.66,2.073,-3.93,3.181,-1.75,2.741,0.78,2.224,5.90,2.843
10.30,4.890,-6.65,2.083,-3.76,3.219,-1.71,2.750,0.75,2.242,5.88,2.851
10.83,4.918,-6.65,2.092,-3.71,3.252,-1.63,2.755,0.81,2.246,5.91,2.854
11.11,4.940,-6.59,2.110,-3.55,3.270,-1.65,2.757,0.77,2.253,5.90,2.864
11.63,4.959,-6.59,2.132,-3.49,3.285,-1.63,2.760,0.83,2.267,5.89,2.871
11.85,4.979,-6.57,2.152,-3.38,3.300,-1.67,2.766,0.86,2.286,5.92,2.886
12.28,5.011,-6.54,2.172,-3.34,3.316,-1.77,2.771,0.88,2.304,6.05,2.920
12.50,5.052,-6.56,2.196,-3.22,3.340,-1.70,2.782,0.89,2.306,6.01,3.003
13.13,5.091,-6.56,2.213,-3.17,3.360,-1.62,2.788,0.92,2.312,6.08,3.121
13.51,5.113,-6.48,2.232,-3.12,3.376,-1.61,2.793,0.94,2.325,6.15,3.208
14.16,5.135,-6.49,2.243,-3.07,3.388,-1.53,2.809,1.00,2.336,6.48,3.258
14.39,5.163,-6.40,2.256,-3.04,3.398,-1.51,2.846,1.00,2.345,6.55,3.286
15.12,5.199,-6.34,2.262,-3.03,3.404,-1.49,2.893,1.11,2.351,6.62,3.303
15.44,5.245,-6.38,2.270,-2.97,3.413,-1.37,2.966,1.12,2.353,6.68,3.311
15.85,5.286,-6.36,2.275,-2.95,3.423,-1.40,3.030,1.13,2.361,6.78,3.318
16.81,5.331,-6.32,2.279,-2.98,3.432,-1.21,3.079,1.13,2.375,6.87,3.325
17.41,5.389,-6.28,2.284,-2.96,3.448,-1.12,3.105,1.20,2.392,6.91,3.336
18.67,5.441,-6.28,2.286,-2.91,3.460,-1.07,3.138,1.14,2.427,6.95,3.347
19.43,5.477,-6.30,2.287,-2.77,3.473,-1.10,3.190,1.18,2.458,7.01,3.358
20.65,5.501,-6.29,2.292,-2.70,3.489,-0.95,3.241,1.19,2.482,7.01,3.373
