"Relative Intensity (%) Run #2","Angle (rad) Run #2","Relative Intensity (%) Run #3","Angle (rad) Run #3","Relative Intensity (%) Run #4","Angle (rad) Run #4","Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7"
5.75,1.827,7.14,1.951,7.21,1.703,6.99,2.763,6.94,2.813,6.57,2.487
5.70,1.852,7.14,1.982,7.22,1.720,6.95,2.782,6.99,2.831,6.58,2.516
5.73,1.879,7.13,1.995,7.20,1.734,7.00,2.794,6.98,2.859,6.56,2.556
5.76,1.901,7.16,2.011,7.17,1.756,7.00,2.804,7.02,2.887,6.57,2.581
5.72,1.915,7.23,2.026,7.19,1.777,6.97,2.820,7.09,2.903,6.56,2.612
5.73,1.937,7.20,2.036,7.18,1.800,6.94,2.834,7.13,2.912,6.55,2.652
5.68,1.953,7.21,2.042,7.18,1.821,6.95,2.851,7.04,2.922,6.67,2.719
5.71,1.978,7.21,2.050,7.20,1.849,6.97,2.871,7.07,2.939,6.70,2.785
5.77,1.996,7.19,2.062,7.24,1.876,6.98,2.890,7.14,2.953,6.72,2.854
5.77,2.004,7.26,2.080,7.26,1.894,7.04,2.914,7.14,2.967,6.71,2.911
5.76,2.014,7.24,2.095,7.26,1.913,7.07,2.926,7.24,2.981,6.75,2.936
5.85,2.040,7.25,2.119,7.27,1.932,7.04,2.934,7.23,2.994,6.82,2.947
5.80,2.078,7.24,2.138,7.30,1.954,7.02,2.948,7.24,3.007,6.81,2.955
5.77,2.119,7.24,2.168,7.31,1.976,6.96,2.961,7.26,3.028,6.85,2.963
5.74,2.139,7.23,2.210,7.26,2.003,6.98,2.967,7.28,3.068,6.88,2.985
5.72,2.157,7.25,2.243,7.31,2.028,7.04,2.980,7.29,3.126,6.85,3.005
5.77,2.169,7.27,2.257,7.33,2.053,7.04,3.003,7.32,3.182,6.78,3.027
5.81,2.187,7.23,2.271,7.28,2.072,7.08,3.030,7.40,3.242,6.98,3.052
5.87,2.207,7.24,2.284,7.22,2.092,6.97,3.066,7.42,3.270,6.97,3.087
5.86,2.223,7.20,2.304,7.22,2.113,7.02,3.112,7.50,3.302,6.97,3.146
5.80,2.243,7.21,2.329,7.22,2.128,7.08,3.154,7.52,3.341,7.00,3.193
5.80,2.264,7.20,2.358,7.29,2.149,7.17,3.219,7.57,3.365,6.99,3.267
5.91,2.284,7.17,2.392,7.34,2.172,7.11,3.266,7.60,3.383,7.03,3.324
5.89,2.300,7.19,2.408,7.37,2.207,7.12,3.297,7.61,3.398,7.11,3.371
5.84,2.314,7.23,2.424,7.37,2.242,7.16,3.318,7.64,3.413,7.09,3.423
5.95,2.328,7.21,2.438,7.42,2.249,7.21,3.344,7.69,3.431,7.13,3.470
5.94,2.339,7.20,2.461,7.31,2.256,7.22,3.391,7.71,3.456,7.20,3.506
5.97,2.356,7.18,2.472,7.34,2.275,7.32,3.418,7.75,3.481,7.24,3.539
5.99,2.373,7.20,2.494,7.34,2.295,7.33,3.445,7.79,3.504,7.28,3.564
