Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #7,Angle (rad) Run #7,Relative Intensity (%) Run #9,Angle (rad) Run #9
7.49,5.239,3.78,4.406,4.29,4.348,4.79,2.744,5.51,3.201
7.7,5.27,3.89,4.445,4.36,4.378,4.88,2.758,5.47,3.25
8,5.3,3.94,4.467,4.44,4.423,4.83,2.777,5.48,3.267
8.17,5.336,4.05,4.508,4.53,4.463,4.79,2.788,5.53,3.278
8.59,5.372,4.23,4.544,4.62,4.489,4.8,2.799,5.58,3.292
8.79,5.408,4.27,4.582,4.68,4.494,4.76,2.81,5.51,3.329
9.05,5.449,4.45,4.621,4.68,4.494,4.78,2.815,5.49,3.368
9.56,5.488,4.53,4.653,4.73,4.5,4.81,2.823,5.47,3.401
9.83,5.526,4.64,4.676,4.77,4.5,4.79,2.829,5.52,3.418
10.46,5.605,4.74,4.701,4.77,4.5,4.8,2.893,5.5,3.44
10.98,5.678,4.86,4.736,4.83,4.503,4.84,2.923,5.49,3.47
11.89,5.729,4.9,4.777,4.85,4.505,4.84,2.93,5.48,3.481
12.31,5.777,5.07,4.816,4.94,4.51,4.8,2.933,5.46,3.495
13.19,5.826,5.23,4.857,4.97,4.508,4.82,2.934,5.52,3.522
13.59,5.867,5.31,4.879,4.99,4.508,4.87,2.941,5.55,3.539
14.54,5.922,5.53,4.915,4.94,4.511,4.82,2.955,5.56,3.559
15.09,5.977,5.65,4.978,4.93,4.525,4.85,2.956,5.53,3.605
16.16,6.027,5.98,5.022,5.01,4.552,4.82,2.963,5.53,3.647
16.9,6.123,6.17,5.045,5.07,4.566,4.86,2.97,5.5,3.68
17.74,6.228,6.36,5.074,5.24,4.569,4.87,2.977,5.53,3.709
19.88,6.333,6.52,5.094,5.24,4.582,4.88,2.983,5.57,3.732
20.93,6.417,6.79,5.135,5.32,4.623,4.87,2.991,5.56,3.753
22.83,6.47,7,5.204,5.44,4.69,4.89,3,5.59,3.793
23.55,6.516,7.44,5.25,5.48,4.703,4.89,3.011,5.54,3.83
25.05,6.568,7.67,5.287,5.58,4.703,4.98,3.027,5.5,3.85
25.62,6.596,7.82,5.325,5.56,4.709,4.97,3.036,5.65,3.867
26.62,6.633,8.23,5.374,5.59,4.723,4.97,3.05,5.61,3.886
27.13,6.666,8.42,5.402,5.6,4.728,4.96,3.063,5.73,3.916
27.67,6.706,8.74,5.424,5.59,4.738,4.95,3.077,5.72,3.971
28.76,6.765,8.87,5.438,5.61,4.745,5.01,3.099,5.74,4.017
29.51,6.852,9.16,5.457,5.83,4.786,4.95,3.131,5.76,4.04
31.15,6.938,9.26,5.477,5.94,4.851,4.93,3.156,5.76,4.054
31.94,7.017,9.57,5.512,6.28,4.904,4.91,3.171,5.77,4.062
33.27,7.058,9.82,5.562,6.32,4.926,4.96,3.197,5.77,4.079
33.7,7.091,10.43,5.619,6.45,4.931,4.97,3.234,5.79,4.09
34.47,7.124,10.77,5.663,6.51,4.939,5.09,3.267,5.81,4.095
34.8,7.155,11.42,5.718,6.58,4.959,5.1,3.277,5.84,4.108
35.11,7.183,11.7,5.743,6.72,4.979,5.07,3.292,5.81,4.119
35.58,7.21,11.98,5.768,6.8,5.012,5.06,3.305,5.83,4.134
35.74,7.24,12.5,5.792,6.9,5.044,5.11,3.329,5.84,4.152
36.16,7.274,12.71,5.814,6.99,5.066,5.1,3.349,5.82,4.164
36.37,7.315,13.08,5.839,7.15,5.077,5.08,3.362,5.83,4.177
36.68,7.348,13.33,5.87,7.19,5.085,5.11,3.393,5.87,4.202
36.82,7.375,13.94,5.911,7.29,5.096,5.13,3.424,5.93,4.225
36.9,7.392,14.22,5.944,7.34,5.1,5.12,3.445,5.99,4.254
36.96,7.408,14.77,5.966,7.43,5.118,5.17,3.46,5.99,4.284
37,7.425,15.02,5.983,7.51,5.144,5.15,3.473,6.05,4.312
37.06,7.442,15.35,5.996,7.86,5.199,5.16,3.484,6.08,4.323
37.12,7.466,15.56,6.01,8.11,5.279,5.16,3.495,6.12,4.328
37.18,7.499,15.81,6.035,8.43,5.311,5.15,3.506,6.14,4.337
37.17,7.523,16.4,6.081,8.62,5.327,5.13,3.511,6.14,4.359
37.2,7.546,16.85,6.147,8.84,5.364,5.12,3.512,6.15,4.373
37.26,7.589,17.86,6.206,9.27,5.413,5.16,3.517,6.21,4.39
37.29,7.622,18.41,6.25,9.49,5.452,5.19,3.523,6.21,4.406
37.22,7.658,19.33,6.275,9.92,5.47,5.17,3.547,6.25,4.425
37.14,7.694,19.71,6.3,10.07,5.47,5.18,3.572,6.34,4.447
36.92,7.739,20.52,6.33,10.36,5.477,5.27,3.625,6.31,4.464
36.82,7.768,20.87,6.363,10.48,5.493,5.28,3.671,6.42,4.488
36.55,7.799,21.8,6.412,10.66,5.507,5.27,3.695,6.41,4.522
36.43,7.813,22.26,6.451,10.78,5.518,5.34,3.712,6.51,4.541
36.02,7.841,22.69,6.491,10.98,5.532,5.35,3.721,6.54,4.558
35.85,7.887,23.48,6.514,11.11,5.557,5.36,3.732,6.65,4.577
35.74,7.911,23.86,6.536,11.43,5.595,5.34,3.753,6.67,4.607
35.29,7.942,24.63,6.563,11.62,5.625,5.44,3.79,6.72,4.626
35.06,7.975,24.95,6.588,11.87,5.666,5.49,3.836,6.77,4.659
34.63,8.003,25.62,6.615,12.73,5.743,5.53,3.883,6.89,4.692
34.46,8.019,25.98,6.64,13.09,5.796,5.54,3.9,6.96,4.725
34.02,8.047,26.26,6.652,13.81,5.831,5.61,3.936,7.04,4.745
33.8,8.074,26.77,6.666,14.12,5.861,5.6,3.991,7.2,4.772
33.25,8.097,27.14,6.701,14.85,5.909,5.65,4.031,7.29,4.789
32.98,8.124,27.89,6.743,15.23,5.949,5.65,4.05,7.36,4.805
32.75,8.152,28.36,6.789,16.05,5.988,5.66,4.062,7.46,4.835
32.19,8.185,29.35,6.838,16.35,6.011,5.69,4.073,7.48,4.863
31.79,8.223,29.78,6.868,16.92,6.035,5.77,4.084,7.51,4.882
31.12,8.255,30.57,6.893,17.11,6.052,5.76,4.098,7.63,4.901
30.76,8.275,30.95,6.918,17.3,6.062,5.78,4.123,7.66,4.917
30.19,8.295,31.32,6.948,17.62,6.084,5.89,4.161,7.81,4.939
29.9,8.322,31.85,6.97,17.83,6.112,5.94,4.196,7.86,4.953
29.32,8.347,32.21,6.99,18.36,6.148,5.93,4.218,7.97,4.959
29.05,8.366,32.83,7.02,18.74,6.205,5.98,4.246,8.02,4.97
28.86,8.375,33.2,7.059,19.45,6.231,6,4.265,8.07,4.998
28.43,8.391,33.92,7.092,19.8,6.258,6.02,4.295,8.24,5.044
28.21,8.404,34.25,7.131,20.49,6.28,6.14,4.329,8.31,5.088
